Item_final,Region,food_group,In_FS_study,In_FS_study_exact,Notes
Lentils,Asia_West,Pulses,Y,N,"as determined from contributing species PNAS (Lens, Cicer, Vicia)"
Lentils,Mediterranean_SouthandEast,Pulses,Y,N,"as determined from contributing species PNAS (Lens, Cicer, Vicia)"
Lettuce,Asia_Central,Vegetables,N,N,CK estimate based on CWR
Lettuce,Asia_West,Vegetables,N,N,CK estimate based on CWR
Lettuce,Europe_Eastern_north,Vegetables,N,N,CK estimate based on CWR
Lettuce,Europe_Eastern_south,Vegetables,N,N,CK estimate based on CWR
Lettuce,Europe_Western_north,Vegetables,N,N,CK estimate based on CWR
Lettuce,Europe_Western_south,Vegetables,N,N,CK estimate based on CWR
Lettuce,Mediterranean_SouthandEast,Vegetables,N,N,CK estimate based on CWR
Linseed,Asia_Central,Oilcrops,N,N,"GRIN, PROTA4U"
Linseed,Asia_West,Oilcrops,N,N,"GRIN, PROTA4U"
Linseed,Europe_Eastern_north,Oilcrops,N,N,"GRIN, PROTA4U"
Linseed,Europe_Eastern_south,Oilcrops,N,N,"GRIN, PROTA4U"
Linseed,Europe_Western_north,Oilcrops,N,N,"GRIN, PROTA4U"
Linseed,Europe_Western_south,Oilcrops,N,N,"GRIN, PROTA4U"
Linseed,Mediterranean_SouthandEast,Oilcrops,N,N,"GRIN, PROTA4U"
Lupins,America_South_andean,Pulses,N,N,GRIN for mutabilis
Lupins,Europe_Eastern_south,Pulses,N,N,"GRIN for albus, angustifolius"
Lupins,Europe_Western_south,Pulses,N,N,GRIN for angustifolius
Lupins,Mediterranean_SouthandEast,Pulses,N,N,GRIN for angustifolius
Maize,America_Central_and_Mexico,Cereals,Y,Y,As per Palacios
Mangoes_mangosteens_guavas,America_Central_and_Mexico,Fruits,N,N,guava
Mangoes_mangosteens_guavas,America_South_tropical,Fruits,N,N,guava
Mangoes_mangosteens_guavas,Asia_South,Fruits,N,N,Mango
Mangoes_mangosteens_guavas,Asia_Southeast,Fruits,N,N,"Mango, mangosteen"
Mate,America_South_temperate,Stimulants,Y,N,"as determined from contributing species PNAS. Mate native to Paraguay, Uruguay, Brazil, Argentina. "
Mate,America_South_tropical,Stimulants,Y,N,"as determined from contributing species PNAS. Mate native to Paraguay, Uruguay, Brazil, Argentina. "
Melons,Africa_East,Fruits,N,N,GRIN
Melons,Africa_Southern,Fruits,N,N,GRIN
Melons,Africa_West,Fruits,N,N,GRIN
Melons,Asia_East,Fruits,N,N,GRIN
Melons,Asia_South,Fruits,N,N,GRIN
Melons,Asia_Southeast,Fruits,N,N,GRIN
Melons,Asia_West,Fruits,N,N,GRIN
Melons,Pacific_Region_tropical,Fruits,N,N,GRIN
Millets,Africa_East,Cereals,Y,Y,As per Palacios
Millets,Africa_Southern,Cereals,Y,Y,As per Palacios
Millets,Africa_West,Cereals,Y,Y,As per Palacios
Millets,Asia_East,Cereals,Y,Y,As per Palacios
Millets,Asia_South,Cereals,Y,Y,As per Palacios
Millets,Asia_Southeast,Cereals,Y,Y,As per Palacios
Mustard_seed,Europe_Eastern_south,Oilcrops,Y,N,"As per Palacios, but refined by CK"
Mustard_seed,Europe_Western_south,Oilcrops,Y,N,"As per Palacios, but refined by CK"
Mustard_seed,Mediterranean_SouthandEast,Oilcrops,Y,N,As per Palacios
Nutmeg_mace_cardamoms,Asia_South,Spices,N,N,Cardamom
Nutmeg_mace_cardamoms,Asia_Southeast,Spices,N,N,"Nutmeg, mace"
Nuts_nes,Not_Specified,Nuts,N,N,
Oats,Europe_Eastern_north,Cereals,Y,Y,"As per Palacios, but refined by CK. JW- Species thought to be involved in the domestication of oats occur in northern Europe, which could have been part of its early domestication."
Oats,Europe_Western_north,Cereals,Y,Y,"As per Palacios, but refined by CK. JW- Species thought to be involved in the domestication of oats occur in northern Europe, which could have been part of its early domestication."
Oilseeds_nes,Not_Specified,Oilcrops,N,N,
Okra,Asia_South,Vegetables,N,N,origin uncertain; Prota4U
Okra,Asia_Southeast,Vegetables,N,N,origin uncertain; Prota4U
Olives,Africa_East,Oilcrops,Y,Y,"CK added due to literature, including GRIN taxonomy. JW- Only parts of Sudan."
Olives,Asia_West,Oilcrops,Y,Y,"CK added due to literature, including GRIN taxonomy"
Olives,Europe_Eastern_south,Oilcrops,Y,Y,"CK added due to literature, including GRIN taxonomy"
Olives,Europe_Western_south,Oilcrops,Y,Y,"CK added due to literature, including GRIN taxonomy"
Olives,Mediterranean_SouthandEast,Oilcrops,Y,Y,As per Palacios. JW- Macaronesia (Canary Islands & Madeira)- close relatives occur there.
Onions,Asia_Central,Vegetables,Y,Y,As per Palacios
Onions,Asia_West,Vegetables,Y,Y,As per JW- close relatives in N Iran
Oranges,Asia_East,Fruits,Y,N,As per Palacios
Palm oil,Africa_Central,Oilcrops,Y,Y,CK added due to literature. Sp. Native down to Angola
Palm oil,Africa_West,Oilcrops,Y,Y,As per Palacios
Palm oil,America_Central_and_Mexico,Oilcrops,Y,Y,"Including oleifera, as hybrids between American and African species contributed significantly to importance of crop"
Palm oil,America_South_tropical,Oilcrops,Y,Y,"Including oleifera, as hybrids between American and African species contributed significantly to importance of crop"
Papayas,America_Central_and_Mexico,Fruits,N,N,CK estimate based on CWR
Papayas,America_South_tropical,Fruits,N,N,CK estimate based on CWR
Peaches & nectarines,Asia_East,Fruits,N,N,CK estimate based on CWR
Pears,Asia_East,Fruits,N,N,"CK estimate based on CWR (Asian pears, Pyrus pyrifolia)"
Pears,Asia_Southeast,Fruits,N,N,"CK estimate based on CWR (Asian pears, Pyrus pyrifolia)"
Pears,Asia_West,Fruits,N,N,"JW- The European pear, P. communis, probably originated in Asia_West (including the Caucasus) and Europe_East_south."
Pears,Europe_Eastern_south,Fruits,N,N,"JW- The European pear, P. communis, probably originated in Asia_West (including the Caucasus) and Europe_East_south."
Peas,Africa_East,Pulses,Y,Y,As per Palacios. JW- Only Ethiopia.
Peas,Asia_West,Pulses,Y,Y,As per Palacios
Peas,Europe_Eastern_south,Pulses,Y,Y,As per JW- close relatives native to this region
Peas,Europe_Western_south,Pulses,Y,Y,As per JW- close relatives native to this region
Peas,Mediterranean_SouthandEast,Pulses,Y,Y,added as suggested by JE
Pepper,Asia_South,Spices,Y,Y,Piper nigrum. Native to S Asia (India)
Peppermint,Africa_East,Spices,N,N,GRIN for parent aquatica
Peppermint,Africa_Southern,Spices,N,N,GRIN for parent aquatica
Peppermint,Asia_Central,Spices,N,N,GRIN for parent aquatica
Peppermint,Asia_West,Spices,N,N,"GRIN for parent aquatica, spicata"
Peppermint,Europe_Eastern_north,Spices,N,N,GRIN for parent aquatica
Peppermint,Europe_Eastern_south,Spices,N,N,"GRIN for parent aquatica, spicata"
Peppermint,Europe_Western_north,Spices,N,N,GRIN for parent aquatica
Peppermint,Europe_Western_south,Spices,N,N,GRIN for parent aquatica
Peppermint,Mediterranean_SouthandEast,Spices,N,N,GRIN for parent aquatica
Persimmons,Asia_East,Fruits,N,N,
Pigeonpeas,Asia_South,Pulses,Y,N,"as determined from contributing species PNAS (Cajanus, Lens, Cicer)"
Pineapples,America_South_tropical,Fruits,Y,Y,"As per Palacios, but refined by CK"
Pistachios,Asia_Central,Nuts,N,N,
Pistachios,Asia_West,Nuts,N,N,
Plums,Asia_East,Fruits,N,N,CK estimate based on CWR. JW-  The native distribution of Prunus salicina (Japanese plum)
Plums,Asia_Southeast,Fruits,N,N,JW-  The native distribution of Prunus salicina (Japanese plum) also touches Asia_Southeast
Plums,Asia_West,Fruits,N,N,"JW-  Prunus domestica (common or European plum),may have its origins in Asia_West, and as it is thought to be of hybrid origin involving P. cerasifera and possibly P. spinosa, their distributions overlap also in Europe_East_south."
Plums,Europe_Eastern_south,Fruits,N,N,"JW-  Prunus domestica (common or European plum),may have its origins in Asia_West, and as it is thought to be of hybrid origin involving P. cerasifera and possibly P. spinosa, their distributions overlap also in Europe_East_south."
Poppy,Europe_Eastern_south,Spices,N,N,GRIN
Poppy,Europe_Western_south,Spices,N,N,GRIN
Poppy,Mediterranean_SouthandEast,Spices,N,N,GRIN
Potatoes,America_South_andean,Starchy roots,Y,Y,"As per Palacios, but refined by CK"
Pulses_nes,Not_Specified,Pulses,N,N,
Pumpkins & gourds,Africa_Southern,Vegetables,N,N,Lagenaria 
Pumpkins & gourds,America_Central_and_Mexico,Vegetables,N,N,Cucurbita
Pumpkins & gourds,America_North,Vegetables,N,N,Cucurbita pepo
Pumpkins & gourds,America_South_tropical,Vegetables,N,N,Cucurbita
Quinces,Asia_Central,Fruits,N,N,GRIN
Quinces,Asia_West,Fruits,N,N,GRIN
Quinoa,America_South_andean,Cereals,N,N,GRIN
Quinoa,America_South_temperate,Cereals,N,N,JW- (http://link.springer.com/article/10.1007/BF02860478#page-1) indicates that America_South_temperate may also need to be included here
Rapeseed,Europe_Eastern_south,Oilcrops,Y,N,"As per Palacios, but refined by CK"
Rapeseed,Europe_Western_south,Oilcrops,Y,N,"As per Palacios, but refined by CK"
Rapeseed,Mediterranean_SouthandEast,Oilcrops,Y,N,As per Palacios
Raspberries,America_North,Fruits,N,N,GRIN for idaeus
Raspberries,Asia_Central,Fruits,N,N,GRIN for idaeus
Raspberries,Asia_East,Fruits,N,N,GRIN for idaeus
Raspberries,Asia_West,Fruits,N,N,GRIN for idaeus
Raspberries,Europe_Eastern_north,Fruits,N,N,GRIN for idaeus
Raspberries,Europe_Eastern_south,Fruits,N,N,GRIN for idaeus
Raspberries,Europe_Western_north,Fruits,N,N,GRIN for idaeus
Raspberries,Europe_Western_south,Fruits,N,N,GRIN for idaeus
Raspberries,Mediterranean_SouthandEast,Fruits,N,N,GRIN for idaeus
Rice,Africa_Central,Cereals,Y,Y,As per JW- native to this region and cultivated there
Rice,Africa_West,Cereals,Y,Y,As per Palacios
Rice,Asia_East,Cereals,Y,Y,As per Palacios
Rice,Asia_South,Cereals,Y,Y,As per Palacios
Rice,Asia_Southeast,Cereals,Y,Y,As per Palacios
Roots_tubers_nes,Not_Specified,Starchy roots,N,N,
Rye,Asia_West,Cereals,Y,Y,As per Palacios
Safflower_seed,Asia_Central,Oilcrops,N,N,CK estimate based on CWR
Safflower_seed,Asia_West,Oilcrops,N,N,CK estimate based on CWR
Safflower_seed,Europe_Eastern_south,Oilcrops,N,N,CK estimate based on CWR
Sesame,Africa_East,Oilcrops,Y,Y,As per Palacios
Sesame,Asia_South,Oilcrops,Y,Y,As per Palacios
Sesame,Asia_West,Oilcrops,Y,Y,As per JW- spread to this region in ancient times from India
Sheanuts,Africa_Central,Oilcrops,N,N,GRIN
Sheanuts,Africa_East,Oilcrops,N,N,GRIN
Sheanuts,Africa_West,Oilcrops,N,N,GRIN
Sorghum,Africa_Central,Cereals,Y,Y,As per Palacios
Sorghum,Africa_East,Cereals,Y,Y,As per Palacios
Sorghum,Africa_Southern,Cereals,Y,Y,As per Palacios
Sorghum,Africa_West,Cereals,Y,Y,As per Palacios
Soybean,Asia_East,Oilcrops,Y,Y,As per Palacios
Spices_nes,Not_Specified,Spices,N,N,
Spinach,Asia_Central,Vegetables,N,N,CK estimate based on CWR 
Spinach,Asia_West,Vegetables,N,N,JW- It's suggested origin in Iran (PROTA4U & Mansfeld) indicate that Asia_West should also be included.
Strawberries,America_North,Fruits,N,N,CK estimate based on CWR
Strawberries,America_South_temperate,Fruits,N,N,CK estimate based on CWR
Sugarcane,Asia_South,Sugarcrops,Y,N,As per Palacios
Sugarcane,Asia_Southeast,Sugarcrops,Y,N,As per Palacios
Sunflower,America_North,Oilcrops,Y,Y,As per Palacios
Sweet potatoes,America_Central_and_Mexico,Starchy roots,Y,Y,As per Palacios
Sweet potatoes,America_South_tropical,Starchy roots,Y,Y,"As per Palacios, but refined by CK"
Tangerines_mandarins,Asia_East,Fruits,Y,N,As per Palacios
Taro,Asia_South,Starchy roots,Y,N,as determined from contributing species PNAS (Colocasia)
Taro,Asia_Southeast,Starchy roots,Y,N,as determined from contributing species PNAS (Colocasia)
Taro,Pacific_Region_tropical,Starchy roots,Y,N,as suggested by JE for Taro
Tea,Asia_East,Stimulants,Y,N,as determined from contributing species PNAS.
Tea,Asia_South,Stimulants,Y,N,as determined from contributing species PNAS.
Tea,Asia_Southeast,Stimulants,Y,N,as determined from contributing species PNAS.
Tea_nes,Not_Specified,Stimulants,N,N,
Tomatoes,America_South_andean,Vegetables,Y,Y,"As per Palacios, but refined by CK"
Triticale,Asia_Central,Cereals,Y,N,As per Palacios for wheat
Triticale,Asia_West,Cereals,Y,N,As per Palacios for wheat and Rye
Triticale,Mediterranean_SouthandEast,Cereals,Y,N,added by CK due to presence of early crop wheat and wild relatives in region
Vanilla,America_Caribbean,Spices,N,N,JW- The species is also native to America_Caribbean and America_South_tropical.
Vanilla,America_Central_and_Mexico,Spices,N,N,
Vanilla,America_South_tropical,Spices,N,N,JW- The species is also native to America_Caribbean and America_South_tropical.
Vegetables_fresh_nes,Not_Specified,Vegetables,N,N,
Vegetables_leguminous_nes,Not_Specified,Vegetables,N,N,
Vetches,Europe_Eastern_south,Forages,N,N,CK estimate based on CWR
Vetches,Europe_Western_south,Forages,N,N,CK estimate based on CWR
Walnuts,Asia_Central,Nuts,N,N,GRIN
Walnuts,Asia_South,Nuts,N,N,GRIN
Walnuts,Asia_West,Nuts,N,N,GRIN
Walnuts,Europe_Eastern_south,Nuts,N,N,GRIN
Watermelons,Africa_Southern,Fruits,N,N,GRIN
Wheat,Asia_Central,Cereals,Y,Y,As per Palacios
Wheat,Asia_West,Cereals,Y,Y,As per Palacios
Wheat,Mediterranean_SouthandEast,Cereals,Y,Y,added by CK due to presence of early crop and wild relatives in region
Yams,Africa_West,Starchy roots,Y,Y,As per Palacios
Yams,America_South_tropical,Starchy roots,Y,Y,"Added for D. trifida, native to Guyana."
Yams,Asia_South,Starchy roots,Y,Y,As per Palacios
Yams,Asia_Southeast,Starchy roots,Y,Y,As per Palacios
Yautia,America_Caribbean,Starchy roots,Y,N,as determined from contributing species PNAS (Xanthosoma)
Yautia,America_Central_and_Mexico,Starchy roots,Y,N,as determined from contributing species PNAS (Xanthosoma)
Yautia,America_South_tropical,Starchy roots,Y,N,as determined from contributing species PNAS (Xanthosoma)
